participant,age(1st session),PPVT_raw,PPVT_z,RCPM_raw,RCPM_z,Srep_structure_correct/32,morph_prod/24,morph_comp/31,syll_manip/12,phon_manip/8,pseudoword_rep/48,fwd_recall/54,fwd_recall_range/9,bwd_recall/45,bwd_recall_range/9,fwd_corsi/54,fwd_corsi_range/9,bwd_corsi/45,bwd_corsi_range/9,melody_score,rhythm_score,cBAT_score,complex_cBAT,simple_cBAT
2,70,109,1.66,13,-0.4,28,21,29,11,7,44,25,4,7,2,21,4,8,2,11,10,90,50,40
3,65,73,0.05,22,1.6,24,18,28,11,7,44,28,5,10,3,18,3,10,3,16,11,70,40,30
8,70,80,0.05,17,0.4,26,19,27,12,4,42,24,4,9,2,NA,NA,NA,NA,11,13,40,10,30
9,64,100,1.61,16,0.4,26,21,27,6,4,40,22,4,6,2,16,3,8,2,10,12,40,20,20
14,79,89,-0.05,28,1.666666667,29,22,28,11,6,45,29,5,9,3,29,5,20,5,17,14,50,10,40
19,66,110,2,13,-0.2,25,21,29,12,6,47,35,6,11,3,18,3,10,3,16,12,50,20,30
20,66,113,2.16,21,1.4,30,21,23,11,6,46,27,5,9,2,24,4,9,2,10,16,90,50,40
21,66,106,1.77,13,-0.2,25,19,23,7,4,38,25,4,6,2,18,3,7,2,8,14,90,50,40
22,72,114,1.73,31,3,30,22,29,12,8,47,32,5,12,3,25,4,20,4,12,18,100,50,50
23,68,103,1.42,16,0.2,30,22,27,8,5,46,25,4,6,2,20,3,8,2,16,17,100,50,50
24,70,132,2.94,18,0.6,28,21,27,8,3,46,27,4,9,2,15,2,7,2,12,14,60,30,30
25,68,110,1.78,18,0.6,25,19,28,9,6,46,28,5,12,3,16,3,14,3,10,14,80,40,40
26,68,128,2.73,22,1.4,29,23,27,12,7,47,27,4,10,3,24,4,11,3,13,13,100,50,50
27,70,109,1.66,19,0.8,28,23,27,12,7,46,25,4,6,2,21,4,13,3,11,11,90,50,40
28,67,112,2.05,19,0.8,28,21,27,10,5,47,28,5,8,2,19,3,7,2,7,14,80,50,30
29,68,91,0.78,17,0.4,29,20,20,12,6,48,37,6,6,2,22,4,16,4,11,11,70,30,40
31,66,77,0.16,13,-0.2,24,14,21,9,5,45,25,4,7,2,16,3,7,2,9,10,60,30,30
32,67,110,1.94,18,0.6,30,20,29,8,5,46,35,6,9,2,21,3,13,3,14,17,70,40,30
33,66,113,2.16,15,0.2,29,19,26,10,4,33,29,5,6,2,14,2,6,2,13,12,40,20,20
34,66,93,1.05,19,1,29,18,27,8,2,43,29,5,6,2,18,3,7,2,12,8,50,30,20
35,66,91,0.94,15,0.2,24,13,27,6,6,39,20,3,7,2,19,3,11,3,12,15,30,20,10
36,66,89,0.83,19,1,28,22,28,6,1,44,20,3,7,2,19,3,8,2,7,10,40,20,20
